solID,mape,decomp.rssd,nrmse,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,dieci_costo,venti_costo,cluster,top_sol
3_839_1,0,0.145522081113261,0.159223407995356,0.0431155289807737,0.751678147770142,0,0.891837959350355,0.141813983620019,0.0594237572619989,0.128989370203403,2,FALSE
3_856_2,0,0.230643099283594,0.103102562879638,0.27023439264348,0,0,0,0.451381397369563,0.514203024110922,0.96154584673227,1,FALSE
3_862_1,0,0.18620821603346,0.13848952742023,0.121879648183561,0.886736875646408,0,0.17301371908471,0.333049036329305,0.238532455462232,0.349733900314043,3,FALSE
3_868_2,0,0.193057377542027,0.136908515344582,0.232277676507179,0.706641360016231,0,0.30948182953096,0.360219950633208,0.261407814630602,0.40338482239289,3,FALSE
3_883_2,0,0.213950157421707,0.136896334730574,0.329319664474859,0.618922496682808,0,0.23602525196218,0.3724002109845,0.2582340515569,0.402465004385074,3,FALSE
3_886_2,0,0.222924655037902,0.103018338020782,0.273788538929896,0,0,0,0.52369000651619,0.571545953127274,0.936157263482527,1,FALSE
3_893_2,0,0.178917953069135,0.141583092424597,0.125695354058409,0.872296644221508,0,0.334326723498245,0.319390522500429,0.191331533024262,0.313868827919308,3,FALSE
3_897_1,0,0.142651334036581,0.158310419781846,0.0472746063017146,0.749999030700572,0,0.904964863820286,0.136131526811718,0.0727321507711226,0.119434548731166,2,FALSE
3_898_1,0,0.185699698105367,0.138348139037381,0.207052190333716,0.690961200766846,0,0.493412905917882,0.352676580407114,0.22756136889906,0.41960055297856,3,FALSE
3_898_2,0,0.211661216176987,0.136275863170745,0.259505344281729,0.61830479314959,0,0,0.356150814908712,0.261552843086001,0.429387781380224,3,FALSE
3_901_2,0,0.222370713640197,0.103058953053405,0.349003885614327,0,0,0,0.527038056161859,0.682937623269556,0.861457216023158,1,FALSE
3_912_1,0,0.142574449336587,0.158357990466786,0.0467673609229856,0.787679439948454,0,0.949074780971996,0.135340757558709,0.0732218437957344,0.111559160767543,2,FALSE
3_919_1,0,0.168627020118111,0.146493733450852,0.116049571320129,0.868339641324023,0,0.691300534259706,0.327236630775059,0.148062199447793,0.316645248042906,2,FALSE
3_949_2,0,0.154391517264478,0.150856834429966,0.0692485354629182,0.848790699338866,0,0.710238013246606,0.250706726422535,0.117811285398149,0.193314862711397,2,FALSE
3_954_2,0,0.154510270369584,0.149674712563134,0.0841191440307913,0.538064554413072,0,0.810622509171954,0.270937013660276,0.138850245351779,0.231823381117499,2,FALSE
3_959_2,0,0.149209819904697,0.153415503688646,0.0650331414445486,0.845253632388502,0,0.859422885442962,0.215615115171546,0.125332903609694,0.152781424018182,2,FALSE
3_979_2,0,0.145903924998079,0.157093738021459,0.0514292044165843,0.777877837132549,0,0.84478608454588,0.168911761972107,0.0806598237252383,0.125165879617791,2,FALSE
3_990_2,0,0.25354267702597,0.102340283792128,0.679261445190464,0,0,0,0.339881991447275,0.526596814543184,0.75075541623376,1,FALSE
3_991_2,0,0.22418677714653,0.102981584892519,0.204219805212835,0,0,0,0.568987876733825,0.5596419781925,0.923563124107632,1,FALSE
4_1000_1,0,0.178607512685433,0.143185288159226,0.157417807221581,0.566726740504558,0,0.476425486981043,0.257038220051699,0.201575149934112,0.265482109527846,3,FALSE
4_614_2,0,0.143539583608283,0.158720278809705,0.0611449639403588,0.846753251917356,0,0.991781753356148,0.126263101811168,0.0890253380678446,0.173327479152938,2,FALSE
4_659_2,0,0.142091053489498,0.158913761478448,0.0555498742147093,0.656771986471739,0,1,0.1373473966709,0.0893717368338432,0.175258140937806,2,FALSE
4_725_2,0,0.149463448794049,0.15444477122852,0.0925684833535543,0.82381473998635,0,0.899804900263702,0.165761068338425,0.131154921791845,0.229731926663802,2,FALSE
4_737_2,0,0.146649100340353,0.156933020882343,0.0452319435862904,0.80638867155359,0,0.774863225714525,0.185722109207609,0.096625414732763,0.148088399789027,2,FALSE
4_756_2,0,0.139089294325316,0.162629064427709,0.0122006447356979,0.796592108131173,0,0.957969602472817,0.0973058914633339,0.0561928453442245,0.116515340538637,2,FALSE
4_779_2,0,0.181418157938588,0.141232678652719,0.147717450166702,0.921646811630138,0,0.450108247825854,0.217374330179202,0.216343401977709,0.418500975112801,3,FALSE
4_821_2,0,0.166100642724569,0.147281187059758,0.1085878126597,0.883650476863481,0,0.544174362956426,0.284132049759199,0.194641165136807,0.262220472890745,2,FALSE
4_824_2,0,0.180715834505484,0.141241089135705,0.147467087333545,0.921332681331391,0,0.454907411604973,0.218491623251937,0.219425584413357,0.418654021226141,3,FALSE
4_836_2,0,0.163573368997779,0.147609927351914,0.120920099947416,0.899665451786802,0,0.660746013450529,0.222409625575991,0.184520630122035,0.229390190767663,2,FALSE
4_839_2,0,0.181120474722556,0.141224253135973,0.144454178684456,0.979425986984374,0,0.438653413283856,0.212974811842859,0.216507785532731,0.417912386342521,3,FALSE
4_854_2,0,0.180336911570857,0.140944485399539,0.145083174689779,0.9789898046523,0,0.433391595616544,0.224694472004969,0.213392120726258,0.406003087103217,3,FALSE
4_868_1,0,0.16868915703398,0.143428037825866,0.137419647141895,0.827584432693099,0,0.586202603675521,0.198198647336071,0.21095827307302,0.341563478057252,2,FALSE
4_883_1,0,0.174217531795294,0.143082644672233,0.14032294170508,0.818880334459001,0,0.553566111606837,0.201801837594893,0.17396309660324,0.336697864539117,2,TRUE
4_897_2,0,0.159677560111417,0.148572688484584,0.143399676998607,0.992847604534997,0,0.813860254220892,0.201433373103563,0.185245308605688,0.293422497947236,2,FALSE
4_928_1,0,0.16854892552984,0.14331282049797,0.137631349873405,0.82778812441334,0,0.577255651781984,0.209852130970799,0.222948523387611,0.34067761730451,2,FALSE
4_935_1,0,0.158966850085192,0.148695507244634,0.0808564966607612,0.806488089275208,0,0.655353761764852,0.154778862657282,0.127164441532227,0.24069139630125,2,FALSE
4_936_1,0,0.151777155697546,0.149750436393224,0.0948411529307579,0.951137384404635,0,0.892084002868941,0.172051565980701,0.180202732772024,0.21341213673603,2,FALSE
4_943_1,0,0.190088632511765,0.137687283973411,0.185629990833641,0.801938360008763,0,0.24276036737428,0.18566995259641,0.271449048381303,0.36958732184958,3,FALSE
4_955_1,0,0.160406917913232,0.146945162704354,0.0853950052043815,0.935080268584377,0,0.582097778464988,0.153458771977133,0.156184307474618,0.253221994854615,2,FALSE
4_958_1,0,0.178019661293062,0.143289629885444,0.112850147477329,0.897985653633534,0,0.37394385963929,0.22681032717723,0.218965622743637,0.372502008190787,3,FALSE
4_959_1,0,0.147731454782632,0.155997574600535,0.0683358776376348,0.833227867145579,0,0.879363489238126,0.222882238335189,0.112609756770003,0.177979776232514,2,FALSE
4_966_1,0,0.181496865977127,0.14082242482047,0.112974771243739,0.953177286815275,0,0.286349781417728,0.170735308643968,0.265713244558083,0.377894225386464,3,FALSE
4_988_1,0,0.16482189196854,0.143312708587995,0.112907399070617,0.820072660368938,0,0.68287514321729,0.218924924833537,0.216404387835511,0.373297886285318,2,FALSE
5_271_2,0,0.220282935518726,0.136701445118391,0.315252226073642,0.884478418540263,0,0,0.325197553771536,0.232335514386626,0.420154664876488,3,TRUE
5_331_1,0,0.178841654583823,0.141369152650342,0.165935487566444,0.799415419987925,0,0.479870710623767,0.278824674151084,0.187638443452335,0.253951671754488,3,FALSE
5_344_1,0,0.143616910418012,0.169477587271997,0.0136401809464566,0.510350775496302,0,0.661877040468029,0.0386849407702553,0.000224343240275474,0.00488120756862007,2,FALSE
5_359_1,0,0.143135217050385,0.16959225098068,0.0148395475553471,0.424217278066365,0,0.735795872247199,0.0538151336358714,0,0.00299269485975956,2,FALSE
5_444_1,0,0.143732000818814,0.169358261946861,0.0276854105410141,0.38664920916033,0,0.652090900083941,0.0153328419409774,0.00348827417538647,0.00444780675735021,2,FALSE
5_552_1,0,0.221176536992419,0.113563443035323,0.380248717887412,0.354160785415413,0,0,0.237385715366833,0.499521341085801,0.77846673932265,1,FALSE
5_566_2,0,0.136494044010465,0.170152838569254,0,0.348512779781673,0,0.640087217127358,0,0.00245167781591367,0,2,FALSE
5_567_1,0,0.221967910674748,0.113565199514192,0.378298166249138,0.358046879828016,0,0,0.203471630135758,0.495676180952975,0.78126730201856,1,FALSE
5_819_1,0,0.299550968442048,0.10225127101731,1,0,0,0,0.103567750705212,0.586645655844656,0.749739096610519,1,FALSE
5_825_2,0,0.158383544202587,0.146665344645546,0.0863451464944212,0.910639789967552,0,0.643854345804933,0.238291052560315,0.166967301305309,0.220826137676187,2,FALSE
5_840_2,0,0.154431851592821,0.146673911622439,0.087314876384964,0.912883574840903,0,0.740811856372932,0.224726099946236,0.166532648901916,0.22106065547047,2,FALSE
5_879_1,0,0.281954136995849,0.102282524577449,0.887391865500772,0,0,0,0.200063391116313,0.638828702022349,0.745299116565635,1,FALSE
5_909_1,0,0.279351691819308,0.102361476497157,0.841063349238785,0,0,0,0.476111489992986,0.401258146303643,0.93500333053815,1,FALSE
5_914_2,0,0.185938184738823,0.140404685411931,0.146243823737929,0.741717648346563,0,0.296270530435461,0.289149614845672,0.190634444295029,0.341924714885784,3,FALSE
5_976_2,0,0.146315616953558,0.156618363357375,0.0347282506783836,0.822603348806023,0,0.840347661281167,0.163923833954361,0.117054295029782,0.119590218646393,2,FALSE
5_977_1,0,0.219021036492708,0.113958655799052,0.33028871228393,0.247503253797057,0,0,0.331796213198236,0.505145745969643,0.661373413830311,1,FALSE
5_992_2,0,0.146359170301829,0.153707848013427,0.0472744776751963,0.85427628682582,0,0.800114612430451,0.178187135905942,0.0976133455696281,0.143127150523102,2,FALSE
